product_category_name,Total_Revenue_per_category
,179535.28
agro_industria_e_comercio,72530.47
alimentos,29393.41
alimentos_bebidas,15179.48
artes,24202.64
artes_e_artesanato,1814.01
artigos_de_festas,4485.18
artigos_de_natal,8800.82
audio,50688.5
automotivo,592720.11
bebes,411764.89
bebidas,22428.7
beleza_saude,1258681.34
brinquedos,483946.6
cama_mesa_banho,1036988.68
casa_conforto,58572.04
casa_conforto_2,760.27
casa_construcao,83088.12
cds_dvds_musicais,730
cine_foto,6933.46
climatizacao,55024.96
consoles_games,157465.22
construcao_ferramentas_construcao,144677.59
construcao_ferramentas_ferramentas,15903.95
construcao_ferramentas_iluminacao,41080
construcao_ferramentas_jardim,25715.89
construcao_ferramentas_seguranca,40544.52
cool_stuff,635290.85
dvds_blu_ray,5999.39
eletrodomesticos,80171.53
eletrodomesticos_2,113317.74
eletronicos,160246.74
eletroportateis,190648.58
esporte_lazer,988048.97
fashion_bolsas_e_acessorios,152823.54
fashion_calcados,23562.77
fashion_esporte,2119.51
fashion_roupa_feminina,2803.64
fashion_roupa_infanto_juvenil,569.85
fashion_roupa_masculina,10797.82
fashion_underwear_e_moda_praia,9541.55
ferramentas_jardim,485256.46
flores,1110.04
fraldas_higiene,1567.59
industria_comercio_e_negocios,39669.61
informatica_acessorios,911954.32
instrumentos_musicais,191498.88
la_cuisine,2054.99
livros_importados,4639.85
livros_interesse_geral,46856.88
livros_tecnicos,19096.06
malas_acessorios,140429.98
market_place,28378.47
moveis_colchao_e_estofado,4368.08
moveis_cozinha_area_de_servico_jantar_e_jardim,46328.37
moveis_decoracao,729762.49
moveis_escritorio,273960.7
moveis_quarto,20028.78
moveis_sala,68916.56
musica,6034.35
papelaria,230943.23
pc_gamer,1545.95
pcs,222963.13
perfumaria,399124.87
pet_shop,214315.41
portateis_casa_forno_e_cafe,47445.71
portateis_cozinha_e_preparadores_de_alimentos,3968.5299999999997
relogios_presentes,1205005.68
seguros_e_servicos,283.28999999999996
sinalizacao_e_seguranca,21509.23
tablets_impressao_imagem,7528.41
telefonia,323667.52999999997
telefonia_fixa,59583
utilidades_domesticas,632248.66
