product_id,total_sales
aca2eb7d00ea1a7b8ebd4e68314663af,527
99a4788cb24856965c36a24e339b6058,488
422879e10f46682990de24d770e7f83d,484
389d119b48cf3043d311335e499d9c6b,392
368c6c730842d78016ad823897a372db,388
53759a2ecddad2bb87a079a1f1519f73,373
d1c427060a0f73f6b889a5c7c61f2ac4,343
53b36df67ebb7c41585e8d54d6772e08,323
154e7e31ebfa092203795c972e5804a6,281
3dd2a17168ec895c781a9191c1e95ad7,274
2b4609f8948be18874494203496bc318,260
7c1bd920dbdf22470b68bde975dd3ccf,231
a62e25e09e05e6faf31d90c6ec1aa3d1,226
5a848e4ab52fd5445cdc07aab1c40e48,197
bb50f2e236e5eea0100680137654686c,195
e0d64dcfaa3b6db5c54ca298ae101d05,194
e53e557d5a159f5aa2c5e995dfdf244b,183
42a2c92a0979a949ca4ea89ec5c7b934,183
b532349fe46b38fbc7bb3914c1bdae07,169
35afc973633aaeb6b877ff57b2793310,165
a92930c327948861c015c919a0bcb4a8,160
6cdd53843498f92890544667809f1595,156
19c91ef95d509ea33eda93495c4d3481,156
437c05a395e9e47f9762e677a7068ce7,155
f1c7f353075ce59d8a6f3cf58f419c9c,154
3fbc0ef745950c7932d5f2a446189725,150
c4baedd846ed09b85f78a781b522f126,149
461f43be3bdf8844e65b62d9ac2c7a5a,146
7a10781637204d8d10485c71a6108a2e,143
06edb72f1e0c64b14c5b79353f7abea3,143
0aabfb375647d9738ad0f7b4ea3653b1,142
8c591ab0ca519558779df02023177f44,141
656e0eca68dcecf6a31b8ececfabe3e8,141
d017a2151d543a9885604dc62a3d9dcc,140
2028bf1b01cafb2d2b1901fca4083222,138
e0cf79767c5b016251fe139915c59a26,137
ec2d43cc59763ec91694573b31f1c29a,131
b0961721fd839e9982420e807758a2a6,127
36f60d45225e60c7da4558b070ce4b60,127
d285360f29ac7fd97640bf0baef03de0,123
4c2394abfbac7ff59ec7a420918562fa,123
c6dd917a0be2a704582055949915ab32,120
89321f94e35fc6d7903d36f74e351d40,119
601a360bd2a916ecef0e88de72a6531a,119
52c80cedd4e90108bf4fa6a206ef6b03,118
6f3b5b605d91b7439c5e3f5a8dffeea7,117
0bcc3eeca39e1064258aa1e932269894,115
54d9ac713e253fa1fae9c8003b011c2a,114
08574b074924071f4e201e151b152b4e,113
84f456958365164420cfc80fbe4c7fab,111
