Status,Category,percentage_per_category
canceled,Unknown,2.5500910746812386
canceled,alimentos,0.18214936247723132
canceled,alimentos_bebidas,0.36429872495446264
canceled,artes,0.18214936247723132
canceled,artigos_de_natal,0.18214936247723132
canceled,audio,0.18214936247723132
canceled,automotivo,5.646630236794171
canceled,bebes,4.007285974499089
canceled,bebidas,0.18214936247723132
canceled,beleza_saude,6.557377049180328
canceled,brinquedos,6.193078324225866
canceled,cama_mesa_banho,3.278688524590164
canceled,casa_construcao,0.18214936247723132
canceled,climatizacao,0.36429872495446264
canceled,consoles_games,1.8214936247723132
canceled,construcao_ferramentas_construcao,0.36429872495446264
canceled,construcao_ferramentas_iluminacao,0.36429872495446264
canceled,construcao_ferramentas_jardim,0.7285974499089253
canceled,construcao_ferramentas_seguranca,0.9107468123861566
canceled,cool_stuff,3.096539162112933
canceled,dvds_blu_ray,0.36429872495446264
canceled,eletrodomesticos,0.36429872495446264
canceled,eletrodomesticos_2,0.546448087431694
canceled,eletronicos,2.185792349726776
canceled,eletroportateis,1.4571948998178506
canceled,esporte_lazer,9.289617486338798
canceled,fashion_bolsas_e_acessorios,1.092896174863388
canceled,fashion_calcados,0.36429872495446264
canceled,fashion_roupa_masculina,0.18214936247723132
canceled,ferramentas_jardim,3.4608378870673953
canceled,fraldas_higiene,0.18214936247723132
canceled,informatica_acessorios,8.37887067395264
canceled,instrumentos_musicais,2.0036429872495445
canceled,livros_interesse_geral,1.2750455373406193
canceled,malas_acessorios,0.7285974499089253
canceled,market_place,0.18214936247723132
canceled,moveis_cozinha_area_de_servico_jantar_e_jardim,0.36429872495446264
canceled,moveis_decoracao,6.557377049180328
canceled,moveis_escritorio,0.18214936247723132
canceled,moveis_sala,0.36429872495446264
canceled,papelaria,2.185792349726776
canceled,pc_gamer,0.18214936247723132
canceled,perfumaria,3.096539162112933
canceled,pet_shop,0.9107468123861566
canceled,portateis_cozinha_e_preparadores_de_alimentos,0.18214936247723132
canceled,relogios_presentes,3.8251366120218577
canceled,telefonia,3.278688524590164
canceled,telefonia_fixa,0.546448087431694
canceled,utilidades_domesticas,8.925318761384336
